Bauartnummer;Bauartname;Spielname;Datum;Zulassungsinhaber;Fehler;TR-Version;ZL-Daten
749;Jumbo Jumbo Fun;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
750;Rototron 007 James Bond;;1996;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
751;Crown Jubilee;;1996;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
752;Crown Classic Rolls;;1996;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
754;Mega Card;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
755;Video Master;;1996;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
756;Rototron Royal Trio;;1996;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
757;Rotomat Royal Super;;1996;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
758;Royal;;1996;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
759;Goldmint Route 77 Freeway;;1996;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
766;Super Multi III;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
766;Multi Star;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
764;Royal;;1996;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
766;Mystic;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
767;Turbo Sunny;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8038
772;Nova Pep;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
773;Triomint Volle Pulle;;1996;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
775;Sunny Top;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
776;Summer King;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
778;Roxy;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
779;Hot Gas;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
780;Multi 2000;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
781;Super Multi IIII;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
782;Come Back;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
783;Crown Action Classic;;1997;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
786;Tobago;;1997;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
787;Double Double;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
788;Golden Sun;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
789;Jumbo Action;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
791;Nova Solo;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
792;Rototron Double Action;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
793;Sonnen Duo;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
794;Doppel-Sonne;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
795;Rototron King Classic;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
797;Nova Silverpot;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
798;Nova Champion;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
799;Multissimo;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
800;Tempo;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
801;Triomint Xtrapot XLL;;1997;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
802;Lux;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
803;Go On;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
804;X3;;1997;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
806;Crown Mirage;;1997;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
808;Nun Ran;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
809;Super Double Double;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
810;Astro II;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
811;Happy Risc;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
812;Komet;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
816;Rototron Roxy Classic;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
